Year,Make,Model
2021,Alfa Romeo,Giulia GTAm
1990,Alfa Romeo,SE 048SP
2019,Apollo,Intensa Emozione
2023,Audi,R8 Coupé V10 GT RWD
1983,Audi,Sport Quattro
1965,Austin-Healey,3000 Mk III
2006,Dodge,Ram SRT-10
2008,Dodge,Viper SRT-10 ACR
1967,Ferrari,275 GTB4 Spider
2025,Ferrari,F80
2017,Ferrari,J50 Preorder Car
1977,Ford,#5 Escort RS1800 Mk II
1986,Ford,F-150 XLT Lariat Forza Edition
2000,Ford,Mustang SVT Cobra R
2006,Formula Drift,#43 Dodge Viper SRT-10 ACR
2020,Gordon Murray Automotive,T.50
2019,Hennessey,Ford F-150 VelociRaptor 6x6
2008,Honda,Civic Type R (FD2)
2019,Jimco,#240 Fastball Racing Class 6100 Spec Trophy Truck
2018,Lotus,Scura Motorsports Exige WTAC
2004,Maserati,MC12
1974,Mazda,#123 Mad Mike 808 Wagon 'FURSTY'
1991,Mazda,#55 Mazda 787B
1972,Mazda,Cosmo 110S Series II
1985,Mazda,RX-7 GSL-SE
2021,McLaren,765LT Coupé
2020,Mercedes-AMG,GT Black Series
1990,Mercedes-Benz,190 E 2.5-16 Evolution II
1990,Mercedes-Benz,190 E 2.5-16 Evolution II Forza Edition
2023,Meyers,Manx 2.0
2021,MINI,John Cooper Works GP
1998,Nissan,Skyline GT-R 40th Anniversary
1997,Porsche,911 GT1 Strassenversion
1993,Porsche,911 Turbo S Leichtbau
2021,Porsche,Mission R
2016,RJ Anderson,#37 Polaris RZR Pro 2 Truck
2017,Saleen,S7 LM
1974,Toyota,Corolla SR5
2023,Toyota,GR Corolla
1995,Toyota,J&J Motorsport Supra WTAC
1996,Toyota,Starlet Glanza V
1998,TVR,Cerbera Speed 12
2017,Volkswagen,#34 Andretti Rally Cross Beetle
1989,Volkswagen,Rallye Golf
2022,Wuling,Hongguang Mini EV
2013,Wuling,Sunshine S Forza Edition
