Year,Make,Model,Attempted_URL
2001,Acura,Integra Type R,https://forza.labsgg.com/cars/2001-acura-integra-type-r
2002,Acura,RSX Type S,https://forza.labsgg.com/cars/2002-acura-rsx-type-s
2019,Apollo,Intensa Emozione,https://forza.labsgg.com/cars/2019-apollo-intensa-emozione
2013,Audi,R8 Coupé V10 Plus 5.2 FSI Quattro,https://forza.labsgg.com/cars/2013-audi-r8-coupe-v10-plus-52-fsi-quattro
2011,Audi,RS 5 Coupé,https://forza.labsgg.com/cars/2011-audi-rs-5-coupe
2010,Audi,TT RS Coupé,https://forza.labsgg.com/cars/2010-audi-tt-rs-coupe
1965,Austin-Healey,3000 Mk III,https://forza.labsgg.com/cars/1965-austin-healey-3000-mk-iii
2020,BMW,M2 Competition Coupé,https://forza.labsgg.com/cars/2020-bmw-m2-competition-coupe
2021,BMW,M4 Competition Coupé,https://forza.labsgg.com/cars/2021-bmw-m4-competition-coupe
2021,BMW,M4 Competition Coupé Welcome Pack,https://forza.labsgg.com/cars/2021-bmw-m4-competition-coupe-welcome-pack
2014,BMW,M4 Coupé,https://forza.labsgg.com/cars/2014-bmw-m4-coupe
2020,BMW,M8 Competition Coupé,https://forza.labsgg.com/cars/2020-bmw-m8-competition-coupe
2008,BMW,Z4 M Coupé,https://forza.labsgg.com/cars/2008-bmw-z4-m-coupe
2008,Dodge,Viper SRT-10 ACR,https://forza.labsgg.com/cars/2008-dodge-viper-srt-10-acr
2014,Ferrari,FXX K,https://forza.labsgg.com/cars/2014-ferrari-fxx-k
2017,Ferrari,J50 Preorder Car,https://forza.labsgg.com/cars/2017-ferrari-j50-preorder-car
1977,Ford,#5 Escort RS1800 Mk II,https://forza.labsgg.com/cars/1977-ford-5-escort-rs1800-mk-ii
1986,Ford,F-150 XLT Lariat Forza Edition,https://forza.labsgg.com/cars/1986-ford-f-150-xlt-lariat-forza-edition
2000,Ford,Mustang SVT Cobra R,https://forza.labsgg.com/cars/2000-ford-mustang-svt-cobra-r
2006,Formula Drift,#43 Dodge Viper SRT-10 ACR,https://forza.labsgg.com/cars/2006-formula-drift-43-dodge-viper-srt-10-acr
2020,Gordon Murray Automotive,T.50,https://forza.labsgg.com/cars/2020-gordon-murray-automotive-t50
2019,Hennessey,Ford F-150 VelociRaptor 6x6,https://forza.labsgg.com/cars/2019-hennessey-ford-f-150-velociraptor-6x6
2008,Honda,Civic Type R (FD2),https://forza.labsgg.com/cars/2008-honda-civic-type-r-fd2
2019,Jimco,#240 Fastball Racing Class 6100 Spec Trophy Truck,https://forza.labsgg.com/cars/2019-jimco-240-fastball-racing-class-6100-spec-trophy-truck
2010,Lamborghini,Murciélago LP 670-4 SV,https://forza.labsgg.com/cars/2010-lamborghini-murcielago-lp-670-4-sv
2018,Lotus,Scura Motorsports Exige WTAC,https://forza.labsgg.com/cars/2018-lotus-scura-motorsports-exige-wtac
1991,Mazda,#55 Mazda 787B,https://forza.labsgg.com/cars/1991-mazda-55-mazda-787b
1972,Mazda,Cosmo 110S Series II,https://forza.labsgg.com/cars/1972-mazda-cosmo-110s-series-ii
1985,Mazda,RX-7 GSL-SE,https://forza.labsgg.com/cars/1985-mazda-rx-7-gsl-se
2011,McLaren,12C Coupé,https://forza.labsgg.com/cars/2011-mclaren-12c-coupe
2015,McLaren,570S Coupé,https://forza.labsgg.com/cars/2015-mclaren-570s-coupe
2018,McLaren,600LT Coupé,https://forza.labsgg.com/cars/2018-mclaren-600lt-coupe
2021,McLaren,765LT Coupé,https://forza.labsgg.com/cars/2021-mclaren-765lt-coupe
2016,Mercedes-AMG,C 63 S Coupé,https://forza.labsgg.com/cars/2016-mercedes-amg-c-63-s-coupe
2018,Mercedes-AMG,GT 4-Door Coupé,https://forza.labsgg.com/cars/2018-mercedes-amg-gt-4-door-coupe
2020,Mercedes-AMG,GT Black Series,https://forza.labsgg.com/cars/2020-mercedes-amg-gt-black-series
1990,Mercedes-Benz,190 E 2.5-16 Evolution II,https://forza.labsgg.com/cars/1990-mercedes-benz-190-e-25-16-evolution-ii
1990,Mercedes-Benz,190 E 2.5-16 Evolution II Forza Edition,https://forza.labsgg.com/cars/1990-mercedes-benz-190-e-25-16-evolution-ii-forza-edition
1954,Mercedes-Benz,300 SL Coupé,https://forza.labsgg.com/cars/1954-mercedes-benz-300-sl-coupe
2012,Mercedes-Benz,C 63 AMG Coupé Black Series,https://forza.labsgg.com/cars/2012-mercedes-benz-c-63-amg-coupe-black-series
2023,Meyers,Manx 2.0,https://forza.labsgg.com/cars/2023-meyers-manx-20
2000,Nissan,Skyline GT-R V Spec II,https://forza.labsgg.com/cars/2000-nissan-skyline-gt-r-v-spec-ii
1997,Porsche,911 GT1 Strassenversion,https://forza.labsgg.com/cars/1997-porsche-911-gt1-strassenversion
2021,Porsche,Mission R,https://forza.labsgg.com/cars/2021-porsche-mission-r
2016,RJ Anderson,#37 Polaris RZR Pro 2 Truck,https://forza.labsgg.com/cars/2016-rj-anderson-37-polaris-rzr-pro-2-truck
1995,Toyota,J&J Motorsport Supra WTAC,https://forza.labsgg.com/cars/1995-toyota-jj-motorsport-supra-wtac
2017,Volkswagen,#34 Andretti Rally Cross Beetle,https://forza.labsgg.com/cars/2017-volkswagen-34-andretti-rally-cross-beetle
2022,Wuling,Hongguang Mini EV,https://forza.labsgg.com/cars/2022-wuling-hongguang-mini-ev
2013,Wuling,Sunshine S Forza Edition,https://forza.labsgg.com/cars/2013-wuling-sunshine-s-forza-edition
